0,"",,,,,100001,,,,,,,,,
406,26942,8507,,,,6,5,81,35.5000000000000000,29.5347253246073037,22,5,7,50,81
406,26942,8532,,,,10,18,94,50.3000000000000000,26.4451213732220266,38,18,31,78,83
406,27516,8532,,,,6,9,77,46.5000000000000000,22.5632444475523067,44,9,42,60,77
406,27526,8507,,,,7,23,66,46.0000000000000000,17.8232058470598007,46,23,24,64,66
406,27526,8532,,,,14,20,80,46.5714285714285714,17.3325584498533400,41,26,34,57,73
406,27587,8507,,,,94,0,97,44.4787234042553191,24.0964588142124682,46,8,26,63,74
406,27587,8532,,,,95,1,99,40.6210526315789474,23.8872257089781888,43,5,21,57,69
406,27674,8507,,,,36,4,94,43.1388888888888889,22.4793909141910665,46,14,22,59,71
406,27674,8532,,,,42,0,98,42.1428571428571429,25.7725240617926176,44,9,19,63,71
406,27835,8507,,,,8,9,65,33.2500000000000000,21.8485043620185328,29,9,14,39,65
406,27835,8532,,,,6,11,67,34.1666666666666667,23.8781629667499059,16,11,16,58,67
406,28060,8507,,,,79,1,97,42.8734177215189873,24.6438045933677249,45,7,26,58,79
406,28060,8532,,,,70,0,95,43.5000000000000000,23.0982463729878502,44,9,26,63,73
406,28179,8507,,,,76,0,99,46.1447368421052632,27.4759065109140890,47,7,21,71,79
406,28179,8532,,,,91,0,98,40.8461538461538462,26.4183955593753636,35,7,21,64,77
406,28396,8507,,,,22,0,89,43.2727272727272727,22.0565977996042375,45,13,28,56,68
406,28396,8532,,,,19,1,99,42.5263157894736842,34.2594162580038904,28,1,11,78,94
406,28403,8507,,,,14,26,90,51.7142857142857143,17.5123190549201302,48,35,37,65,77
406,28403,8532,,,,17,13,90,48.2941176470588235,19.0747369112995663,50,18,35,57,72
406,28457,8507,,,,73,1,98,48.2328767123287671,24.0511726140242285,48,21,29,68,79
406,28457,8532,,,,92,0,98,43.8804347826086957,23.9017413459631917,44,12,24,60,74
406,28461,8507,,,,84,0,99,43.1785714285714286,26.4594077442326623,41,9,23,60,78
406,28461,8532,,,,125,0,96,41.6640000000000000,23.0511157101748758,40,8,24,58,75
406,28462,0,,,,9,20,79,42.5555555555555556,17.8052738753937109,36,20,34,51,79
406,28462,8507,,,,91,0,96,39.4835164835164835,24.5131994545173049,36,7,18,61,70
406,28462,8532,,,,119,0,98,45.9747899159663866,24.8502164451488210,47,13,26,64,76
